Framework,Reference,Requirement,Element ID,Element,Counts towards Covers,Source,Note
TCFD,TCFD Strategy A,"Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term.",E4,"Organizations should consider providing a description of their risks and opportunities by sector and/or geography, as appropriate. In describing climate-related issues, organizations should refer to Tables A1.1 and A1.2 of https://assets.bbhub.io/company/sites/60/2021/07/2021-TCFD-Implementing_Guidance.pdf",Yes,TCFD Strategy A4,
TCFD,TCFD Strategy B,"Describe the impact of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning.",E1,"Building on Strategy A, organizations should discuss how identified climate-related issues have affected their businesses, strategy, and financial planning.",Yes,TCFD Strategy B1,
TCFD,TCFD Strategy B,"Describe the impact of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning.",E2,"Organizations should consider including the impact on their businesses, strategy, and financial planning in the following areas: Products and services; Supply chain and/or value chain; Adaptation and mitigation activities; Investment in research and development; Operations (including types of operations and location of facilities); Acquisitions or divestments; Access to capital",Yes,TCFD Strategy B2,
TCFD,TCFD Strategy B,"Describe the impact of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning.",E3,"Organizations should describe how climate-related issues serve as an input to their financial planning process, the time period(s) used, and how these risks and opportunities are prioritized. Organizations’ disclosures should reflect a holistic picture of the interdependencies among the factors that affect their ability to create value over time.",Yes,TCFD Strategy B3,
TCFD,TCFD Strategy B,"Describe the impact of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning.",E4,"Organizations should describe the impact of climate-related issues on their financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities). If climate-related scenarios were used to inform the organization’s strategy and financial planning, such scenarios should be described.",Yes,TCFD Strategy B4,
TCFD,TCFD Strategy B,"Describe the impact of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning.",E5,"Organizations that have made GHG emissions reduction commitments, operate in jurisdictions that have made such commitments, or have agreed to meet investor expectations regarding GHG emissions reductions should describe their plans for transitioning to a low-carbon economy, which could include GHG emissions targets and specific activities intended to reduce GHG emissions in their operations and value chain or to otherwise support the transition.",Yes,TCFD Strategy B5,
TCFD,TCFD Strategy C,"Describe the resilience of the organization’s strategy, taking into consideration different climaterelated scenarios, including a 2°C or lower scenario.",E1,"Organizations should describe how resilient their strategies are to climate-related risks and opportunities, taking into consideration a transition to a low-carbon economy consistent with a 2°C or lower scenario and, where relevant to the organization, scenarios consistent with increased physical climate-related risks.",Yes,TCFD Strategy C1,
TCFD,TCFD Strategy C,"Describe the resilience of the organization’s strategy, taking into consideration different climaterelated scenarios, including a 2°C or lower scenario.",E2,Where they believe their strategies may be affected by climate-related risks and opportunities,Yes,TCFD Strategy C2,
TCFD,TCFD Strategy C,"Describe the resilience of the organization’s strategy, taking into consideration different climaterelated scenarios, including a 2°C or lower scenario.",E3,How their strategies might change to address such potential risks and opportunities,Yes,TCFD Strategy C2,
TCFD,TCFD Strategy C,"Describe the resilience of the organization’s strategy, taking into consideration different climaterelated scenarios, including a 2°C or lower scenario.",E4,"The potential impact of climate-related issues on financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities)",Yes,TCFD Strategy C2,
TCFD,TCFD Strategy C,"Describe the resilience of the organization’s strategy, taking into consideration different climaterelated scenarios, including a 2°C or lower scenario.",E5,The climate-related scenarios and associated time horizon(s) considered.,Yes,TCFD Strategy C2,
TCFD,TCFD Risk Management A,Describe the organization’s processes for identifying and assessing climate-related risks.,E1,Their risk management processes for identifying and assessing climate-related risks. An important aspect of this description is how organizations determine the relative significance of climate-related risks in relation to other risks.,Yes,TCFD Risk Management A1,
TCFD,TCFD Risk Management A,Describe the organization’s processes for identifying and assessing climate-related risks.,E2,"Whether they consider existing and emerging regulatory requirements related to climate change (e.g., limits on emissions) as well as other relevant factors considered.",Yes,TCFD Risk Management A1,
TCFD,TCFD Risk Management A,Describe the organization’s processes for identifying and assessing climate-related risks.,E3,Processes for assessing the potential size and scope of identified climate-related risks,Yes,TCFD Risk Management A3,
TCFD,TCFD Risk Management A,Describe the organization’s processes for identifying and assessing climate-related risks.,E4,Definitions of risk terminology used or references to existing risk classification frameworks used.,Yes,TCFD Risk Management A3,
TCFD,TCFD Risk Management B,Describe the organization’s processes for managing climate-related risks.,E1,"Organizations should describe their processes for managing climate-related risks, including how they make decisions to mitigate, transfer, accept, or control those risks. In addition, organizations should describe their processes for prioritizing climate-related risks, including how materiality determinations are made within their organizations.",Yes,TCFD Risk Management B1,
TCFD,TCFD Risk Management C,"Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organization’s overall risk management.",E1,"Organizations should describe how their processes for identifying, assessing, and managing climate-related risks are integrated into their overall risk management.",Yes,TCFD Risk Management C1,
TCFD,TCFD Metrics and Targets A,Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process.,E1,"Organizations should provide the key metrics used to measure and manage climaterelated risks and opportunities, as described in Tables A1.1 and A1.2 (https://assets.bbhub.io/company/sites/60/2021/07/2021-TCFD-Implementing_Guidance.pdf), as well as metrics consistent with the cross-industry, climate-related metric categories described in Table A2.1. Organizations should consider including metrics on climate-related risks associated with water, energy, land use, and waste management where relevant and applicable.",Yes,TCFD Metrics and Targets A1,
TCFD,TCFD Metrics and Targets A,Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process.,E2,"Where climate-related issues are material, organizations should consider describing whether and how related performance metrics are incorporated into remuneration policies.",Yes,TCFD Metrics and Targets A2,
TCFD,TCFD Metrics and Targets A,Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process.,E3,"Where relevant, organizations should provide their internal carbon prices as well as climate-related opportunity metrics such as revenue from products and services designed for a low-carbon economy.",Yes,TCFD Metrics and Targets A3,
TCFD,TCFD Metrics and Targets A,Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process.,E4,"Metrics should be provided for historical periods to allow for trend analysis. Where appropriate, organizations should consider providing forward-looking metrics for the cross-industry, climate-related metric categories described in Table A2.1 (https://assets.bbhub.io/company/sites/60/2021/07/2021-TCFD-Implementing_Guidance.pdf), consistent with their business or strategic planning time horizons. In addition, where not apparent, organizations should provide a description of the methodologies used to calculate or estimate climate-related metrics.",Yes,TCFD Metrics and Targets A4,
TCFD,TCFD Metrics and Targets B,"Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.",E1,"Organizations should provide their Scope 1 and Scope 2 GHG emissions independent of a materiality assessment, and, if appropriate, Scope 3 GHG emissions and the related risks. All organizations should consider disclosing Scope 3 GHG emissions.",Yes,TCFD Metrics and Targets B1,
TCFD,TCFD Metrics and Targets B,"Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.",E2,"GHG emissions should be calculated in line with the GHG Protocol methodology to allow for aggregation and comparability across organizations and jurisdictions. As appropriate, organizations should consider providing related, generally accepted industry-specific GHG efficiency ratios.",Yes,TCFD Metrics and Targets B2,
TCFD,TCFD Metrics and Targets B,"Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.",E3,"GHG emissions and associated metrics should be provided for historical periods to allow for trend analysis. In addition, where not apparent, organizations should provide a description of the methodologies used to calculate or estimate the metrics.",Yes,TCFD Metrics and Targets B3,
TCFD,TCFD Metrics and Targets C,Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.,E1,"Organizations should describe their key climate-related targets such as those related to GHG emissions, water usage, energy usage, etc., in line with the cross-industry, climaterelated metric categories in Table A2.1 (https://assets.bbhub.io/company/sites/60/2021/07/2021-TCFD-Implementing_Guidance.pdf), where relevant, and in line with anticipated regulatory requirements or market constraints or other goals. Other goals may include efficiency or financial goals, financial loss tolerances, avoided GHG emissions through the entire product life cycle, or net revenue goals for products and services designed for a low-carbon economy.",Yes,TCFD Metrics and Targets C1,
TCFD,TCFD Metrics and Targets C,Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.,E2,Whether the target is absolute or intensity based,Yes,TCFD Metrics and Targets C2,
TCFD,TCFD Metrics and Targets C,Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.,E3,Time frames over which the target applies,Yes,TCFD Metrics and Targets C2,
TCFD,TCFD Metrics and Targets C,Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.,E4,Base year from which progress is measured,Yes,TCFD Metrics and Targets C2,
TCFD,TCFD Metrics and Targets C,Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.,E5,Key performance indicators used to assess progress against targets,Yes,TCFD Metrics and Targets C2,
TCFD,TCFD Metrics and Targets C,Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.,E6,"Organizations disclosing medium-term or long-term targets should also disclose associated interim targets in aggregate or by business line, where available.",Yes,TCFD Metrics and Targets C3,
TCFD,TCFD Metrics and Targets C,Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.,E7,"Where not apparent, organizations should provide a description of the methodologies used to calculate targets and measures.",Yes,TCFD Metrics and Targets C4,
TNFD,TNFD Governance A,"Describe the board’s oversight of naturerelated dependencies, impacts, risks and opportunities.",E1,"The processes and frequency by which the board and/or board committees (audit, risk or other committees) are informed about nature-related dependencies, impacts, risks and opportunities across the organisation’s direct operations and upstream and downstream value chain(s).",Yes,TNFD Governance A1,
TNFD,TNFD Governance A,"Describe the board’s oversight of naturerelated dependencies, impacts, risks and opportunities.",E2,"Whether and how the board and/or board committees consider nature-related dependencies, impacts, risks and opportunities when: Reviewing and guiding strategy, major plans of action, risk management policies, annual budgets and business plans; Setting the organisation’s performance objectives, monitoring implementation and performance; Overseeing major capital expenditures, acquisitions and divestitures.",Yes,TNFD Governance A1,
TNFD,TNFD Governance A,"Describe the board’s oversight of naturerelated dependencies, impacts, risks and opportunities.",E3,"How the board monitors and oversees progress against goals and targets to address nature-related dependencies, impacts, risks and opportunities.",Yes,TNFD Governance A1,
TNFD,TNFD Governance A,"Describe the board’s oversight of naturerelated dependencies, impacts, risks and opportunities.",E4,"The main features of board-level oversight of the sustainability reporting processes, including risk management processes and use of internal and external audit and assurance resources.",Yes,TNFD Governance A1,
TNFD,TNFD Governance A,"Describe the board’s oversight of naturerelated dependencies, impacts, risks and opportunities.",E5,Whether and how performance metrics for naturer-elated issues are incorporated into remuneration policies,Yes,TNFD Governance A1,
TNFD,TNFD Governance A,"Describe the board’s oversight of naturerelated dependencies, impacts, risks and opportunities.",E6,Number (absolute and proportion of total) of members of board with competence on nature-related issues.,No,TNFD Governance A6,Suggested in the guidance rather than expected
TNFD,TNFD Governance A,"Describe the board’s oversight of naturerelated dependencies, impacts, risks and opportunities.",E7,"Use, if any, of external expert advisers and subject matter experts, such as scientific advisers, to support board deliberations.",No,TNFD Governance A6,Suggested in the guidance rather than expected
TNFD,TNFD Governance A,"Describe the board’s oversight of naturerelated dependencies, impacts, risks and opportunities.",E8,Frequency that nature issues are discussed during board meetings.,No,TNFD Governance A6,Suggested in the guidance rather than expected
TNFD,TNFD Governance B,"Describe management’s role in assessing and managing nature-related dependencies, impacts, risks and opportunities.",E1,"Whether and how the organisation has assigned nature-related responsibilities to management-level positions or committees, whether such management positions or committees report to the board or board committee, and whether those responsibilities include assessing and/or managing nature-related dependencies, impacts, risks and opportunities.",Yes,TNFD Governance B1,
TNFD,TNFD Governance B,"Describe management’s role in assessing and managing nature-related dependencies, impacts, risks and opportunities.",E2,The associated organisational structure(s).,Yes,TNFD Governance B1,
TNFD,TNFD Governance B,"Describe management’s role in assessing and managing nature-related dependencies, impacts, risks and opportunities.",E3,"The controls and procedures by which management is informed about and monitors nature-related dependencies, impacts, risks and opportunities.",Yes,TNFD Governance B1,
TNFD,TNFD Governance B,"Describe management’s role in assessing and managing nature-related dependencies, impacts, risks and opportunities.",E4,"Highest level of responsibility and accountability for nature policies, commitments and targets.",No,TNFD Governance B4,Suggested in the guidance rather than expected
TNFD,TNFD Governance B,"Describe management’s role in assessing and managing nature-related dependencies, impacts, risks and opportunities.",E5,Frequency of communication of performance and progress in priority locations to management.,No,TNFD Governance B4,Suggested in the guidance rather than expected
TNFD,TNFD Governance C,"Describe the organisation’s human rights policies and engagement activities, and oversight by the board and management, with respect to Indigenous Peoples, Local Communities, affected and other stakeholders, in the organisation’s assessment of, and response to, nature-related dependencies, impacts, risks and opportunities.",E1,"A summary of the organisation’s commitments regarding: International standards of responsible business practice as set out in the UN Guiding Principles on Business and Human Rights and the OECD Guidelines for Multinational Enterprises on Responsible Business Conduct; Respect of the rights of Indigenous Peoples as reflected in the UN Declaration on the Rights of Indigenous Peoples, ILO Convention 169, the Convention on Biological Diversity; The UN General Assembly Resolution 76/300 on rights to a healthy environment.",Yes,TNFD Governance C1,
TNFD,TNFD Governance C,"Describe the organisation’s human rights policies and engagement activities, and oversight by the board and management, with respect to Indigenous Peoples, Local Communities, affected and other stakeholders, in the organisation’s assessment of, and response to, nature-related dependencies, impacts, risks and opportunities.",E2,"A description of how human rights due diligence processes, including but not limited to those covering the rights of Indigenous Peoples and Local Communities, are embedded in an organisation’s strategy, policies, codes of conduct, governance structures and best practices.",Yes,TNFD Governance C1,
TNFD,TNFD Governance C,"Describe the organisation’s human rights policies and engagement activities, and oversight by the board and management, with respect to Indigenous Peoples, Local Communities, affected and other stakeholders, in the organisation’s assessment of, and response to, nature-related dependencies, impacts, risks and opportunities.",E3,"The processes adopted to enable the monitoring, management and remediation of any adverse human rights impacts caused by the organisation or to which it significantly contributes through its business activities, supply chains and business relationships, including organisational grievance mechanisms.",Yes,TNFD Governance C1,
TNFD,TNFD Governance C,"Describe the organisation’s human rights policies and engagement activities, and oversight by the board and management, with respect to Indigenous Peoples, Local Communities, affected and other stakeholders, in the organisation’s assessment of, and response to, nature-related dependencies, impacts, risks and opportunities.",E4,"A summary of the organisation’s governance on nature-related advocacy and lobbying, and the organisation’s approach to engagement with public authorities on nature-related initiatives, policies and/or regulation.",Yes,TNFD Governance C1,
TNFD,TNFD Governance C,"Describe the organisation’s human rights policies and engagement activities, and oversight by the board and management, with respect to Indigenous Peoples, Local Communities, affected and other stakeholders, in the organisation’s assessment of, and response to, nature-related dependencies, impacts, risks and opportunities.",E5,"A summary of the organisation’s key nature-related advocacy and lobbying priorities and positions. This should be complemented, where relevant, with a summary of the main direct advocacy and lobbying activities undertaken by the organisation associated with nature-related regulation and public policy development.",Yes,TNFD Governance C1,
TNFD,TNFD Governance C,"Describe the organisation’s human rights policies and engagement activities, and oversight by the board and management, with respect to Indigenous Peoples, Local Communities, affected and other stakeholders, in the organisation’s assessment of, and response to, nature-related dependencies, impacts, risks and opportunities.",E6,"A description of the organisation’s involvement in any ongoing cases, or cases concluded in the reporting year, that concern nature-related dependencies or impacts that are brought to National Contact Points under the OECD Guidelines for Multinational Enterprises on Responsible Business Conduct.",Yes,TNFD Governance C1,
TNFD,TNFD Governance C,"Describe the organisation’s human rights policies and engagement activities, and oversight by the board and management, with respect to Indigenous Peoples, Local Communities, affected and other stakeholders, in the organisation’s assessment of, and response to, nature-related dependencies, impacts, risks and opportunities.",E7,"The engagement process(es) undertaken including: A description of the Indigenous Peoples, Local Communities and affected stakeholders engaged in the assessment and management of naturerelated dependencies, impacts, risks and opportunities, how they were identified, and a confirmation that this description has been agreed with those engaged; A statement of the purpose of the engagement and whether it takes place in relation to assessment, solution-finding, monitoring and/or evaluation of nature-related issues; A description of the approach to and process of engagement, whether engagement is one-off, periodic or ongoing, and whether it is through formal or informal structures; A description of whether engagement has been based on free, prior and informed consultation and participation and how Free Prior and Informed Consent (FPIC) has been obtained; A statement of how equitable Access and Benefit Sharing has been attained, particularly as it relates to Indigenous Peoples and Local Communities; A description of the results of the engagement processes with Indigenous Peoples, Local Communities and affected stakeholders, including how these are incorporated or otherwise addressed in the organisation’s materiality assessment, decision-making and responses to nature-related issues and their societal dimensions",Yes,TNFD Governance C1,
TNFD,TNFD Governance C,"Describe the organisation’s human rights policies and engagement activities, and oversight by the board and management, with respect to Indigenous Peoples, Local Communities, affected and other stakeholders, in the organisation’s assessment of, and response to, nature-related dependencies, impacts, risks and opportunities.",E8,"A statement of whether and how senior management and the board are informed about engagement processes with Indigenous Peoples, Local Communities and affected stakeholders, and their results.",Yes,TNFD Governance C1,
TNFD,TNFD Governance C,"Describe the organisation’s human rights policies and engagement activities, and oversight by the board and management, with respect to Indigenous Peoples, Local Communities, affected and other stakeholders, in the organisation’s assessment of, and response to, nature-related dependencies, impacts, risks and opportunities.",E9,"The organisation should consider reporting the following indicator to support this disclosure: Proportion of locations identified with material naturerelated issues and/or in sensitive locations that have active engagement with Indigenous Peoples, Local Communities and affected stakeholders on naturerelated issues.",No,TNFD Governance C10,Suggested in the guidance rather than expected
TNFD,TNFD Strategy A,"Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.",E1,The organisation should describe the material nature-related dependencies and impacts the organisation has identified in its direct operations and upstream and downstream value chain(s).,Yes,TNFD Strategy A1,
TNFD,TNFD Strategy A,"Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.",E2,"A description of the material impact on nature, including the location of the impact with reference to the location(s) identified in Strategy D and whether the impact relates to the organisation’s direct operations, or upstream or downstream value chain(s).",Yes,TNFD Strategy A2,
TNFD,TNFD Strategy A,"Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.",E3,"A description of the material impact on nature, including the impact pathway(s), including: The organisation’s impact driver(s) and any external factors that are affecting the state of nature; How these impact drivers and external trends lead to changes in the state of nature in these location(s); and How the availability of ecosystem services is affected.",Yes,TNFD Strategy A2,
TNFD,TNFD Strategy A,"Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.",E4,"A description of the material impact on nature, including reference to the relevant metrics disclosed in Metrics and Targets B",Yes,TNFD Strategy A2,
TNFD,TNFD Strategy A,"Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.",E5,"A description of the material dependency on nature, including the location of the dependency, with reference to the locations identified in Strategy D and whether the dependency relates to the organisation’s direct operations, or upstream or downstream value chain(s).",Yes,TNFD Strategy A2,
TNFD,TNFD Strategy A,"Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.",E6,"A description of the material dependency on nature,including the dependency pathway, including: The environmental asset(s) and ecosystem service(s) the organisation depends on; and The associated impact driver(s) and external factors that are affecting the state of nature and availability of ecosystem services",Yes,TNFD Strategy A2,
TNFD,TNFD Strategy A,"Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.",E7,"A description of the material dependency on nature, including reference to the relevant metrics disclosed in Metrics and Targets B.",Yes,TNFD Strategy A2,
TNFD,TNFD Strategy A,"Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.",E8,"A description of the material dependency on nature, including a description of any interconnections between the organisation’s dependencies and impacts.",Yes,TNFD Strategy A2,
TNFD,TNFD Strategy A,"Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.",E9,"An organisation should describe the material risks and opportunities it has identified that could affect its business model, value chain, strategy and financial position and how these arise from its dependencies and impacts on nature.",Yes,TNFD Strategy A10,
TNFD,TNFD Strategy A,"Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.",E10,"The organisation should disclose a description of each nature-related risk and opportunity identified by the organisation across eachtime horizon (short, medium and long term), withreference to the relevant metrics disclosed in Metrics and Targets A.",Yes,TNFD Strategy A11,
TNFD,TNFD Strategy A,"Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.",E11,"The organisation should disclose the TNFD risk and opportunity category to which the risk or opportunity belongs, including whether a risk is a physical or transition risk.",Yes,TNFD Strategy A12,
TNFD,TNFD Strategy B,"Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.",E1,"The organisation should describe how the nature-related dependencies, impacts risks and opportunities identified in Strategy A have affected its business model, value chain, strategy and financial position.",Yes,TNFD Strategy B1,
TNFD,TNFD Strategy B,"Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.",E2,The organisation should describe the current and anticipated effects of the identified risks and opportunities on its business model and value chain and where these risks and opportunities are located in its business model and value chain.,Yes,TNFD Strategy B2,
TNFD,TNFD Strategy B,"Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.",E3,"How the organisation makes and implements decisions to avoid and reduce negative impacts on nature, regenerate and restore ecosystems and transform business practices, following the mitigation hierarchy and principles of extended producer responsibility.",Yes,TNFD Strategy B3,
TNFD,TNFD Strategy B,"Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.",E4,"Current and anticipated changes to business practices, investments in new technologies or research and development, decisions about the location of business operations, and collaboration with other partners and stakeholders.",Yes,TNFD Strategy B3,
TNFD,TNFD Strategy B,"Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.",E5,"Current and anticipated changes to upstream sourcing practices and interactions with downstream entities, such as the adoption of improved tracing, certification practices, collaboration with suppliers, customers and other stakeholders, or extended producer responsibility schemes.",Yes,TNFD Strategy B3,
TNFD,TNFD Strategy B,"Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.",E6,"Current and anticipated changes to the organisation’s engagement through multi-stakeholder planning processes, such as landscape approaches, watershed management and marine and coastal spatial planning.",Yes,TNFD Strategy B3,
TNFD,TNFD Strategy B,"Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.",E7,"Any other current and anticipated policies or efforts to mitigate nature-related risks, manage nature-related issues and/or contribute towards the goals and targets in the GBF.",Yes,TNFD Strategy B3,
TNFD,TNFD Strategy B,"Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.",E8,How the nature-related risks and opportunities have affected the financial position of the organisation in the reporting period,Yes,TNFD Strategy B8,
TNFD,TNFD Strategy B,"Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.",E9,"The anticipated effects on revenues, expenses, cashflows, asset and liability values and funding sources over the short, medium and long term",Yes,TNFD Strategy B8,
TNFD,TNFD Strategy B,"Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.",E10,Whether the organisation anticipates any significant investments or asset disposals as a result of the nature-related risks and opportunities identified.,Yes,TNFD Strategy B8,
TNFD,TNFD Strategy B,"Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.",E11,How nature-related risks and opportunities serve as an input to their financial planning processes.,Yes,TNFD Strategy B8,
TNFD,TNFD Strategy B,"Describe the effect nature-related dependencies, impacts, risks and opportunities have had on the organisation’s business model, value chain, strategy and financial planning, as well as any transition plans or analysis in place.",E12,"Organisations that have made nature-related commitments, set nature-related targets and/or made nature transition plans to address nature-related dependencies, impacts, risks and opportunities should describe their commitments, how they will achieve them and how they are aligned to GBF goals and targets.",Yes,TNFD Strategy B12,
TNFD,TNFD Strategy C,"Describe the resilience of the organisation’s strategy to nature-related risks and opportunities, taking into consideration different scenarios.",E1,"The organisation should disclose information on the resilience of its strategy, business model and value chain to nature-related changes, developments and uncertainties, taking into consideration the organisation’s nature-related risks and opportunities identified in Strategy A. The organisation should use nature-related scenario analysis to assess its strategy resilience, using an approach that is commensurate with the organisation’s circumstances.",Yes,TNFD Strategy C1,
TNFD,TNFD Strategy C,"Describe the resilience of the organisation’s strategy to nature-related risks and opportunities, taking into consideration different scenarios.",E2,"The organisation should describe the ways in which it believes its strategy, business model and value chain may be affected over the short, medium and long term by key trends and critical uncertainties regarding physical risks associated with nature loss and possible tipping points in locations material to its business model and value chain (as identified in Strategy D).",Yes,TNFD Strategy C2,
TNFD,TNFD Strategy C,"Describe the resilience of the organisation’s strategy to nature-related risks and opportunities, taking into consideration different scenarios.",E3,"The organisation should describe the ways in which it believes its strategy, business model and value chain may be affected over the short, medium and long term by key trends and critical uncertainties regarding a range of transition risks, such as changes in government policy and regulation, litigation risk and shifting consumer expectations, and the degree of alignment or misalignment of those transition risk uncertainties.",Yes,TNFD Strategy C3,
TNFD,TNFD Strategy C,"Describe the resilience of the organisation’s strategy to nature-related risks and opportunities, taking into consideration different scenarios.",E4,"The organisation should describe how its strategies might change to address such potential trends and uncertainties, including a description of how the organisation took into consideration location specificity.",Yes,TNFD Strategy C4,
TNFD,TNFD Strategy C,"Describe the resilience of the organisation’s strategy to nature-related risks and opportunities, taking into consideration different scenarios.",E5,"The organisation should describe the potential effects, if assessed, of an increased level and/or increased rate of change of nature-related risks and opportunities on financial performance (i.e. revenues and expenses) and financial position (i.e. assets and liabilities) over the short, medium and long term.",Yes,TNFD Strategy C5,
TNFD,TNFD Strategy C,"Describe the resilience of the organisation’s strategy to nature-related risks and opportunities, taking into consideration different scenarios.",E6,"The organisation should describe the resources and capacity the organisation has, or plans to put in place, to adapt and make identified changes to its strategy to address future changes in the potential effects of nature-related risks and opportunities.",Yes,TNFD Strategy C6,
